neighbourhood,average_price
" North Sydney, New South Wales, Australia",314.0
"ASHFIELD, New South Wales, Australia",240.0
"Abbotsford, NSW , Australia",170.0
"Agnes Banks, New South Wales, Australia",230.0
"Alexandria , New South Wales, Australia",207.0
"Alexandria, New South Wales, Australia",308.7
"Allambie Heights, New South Wales, Australia",559.07
"Allawah, New South Wales, Australia",300.0
"Allawah/Carlton, New South Wales, Australia",75.0
"Annandale, New South Wales, Australia",216.76
"Arcadia, New South Wales, Australia",445.5
"Arncliffe, New South Wales, Australia",137.09
"Artarmon, New South Wales, Australia",519.5
"Ashcroft, New South Wales, Australia",102.0
"Ashfield, New South Wales, Australia",148.85
"Asquith, New South Wales, Australia",189.4
"Auburn, New South Wales, Australia",124.18
"Austral, New South Wales, Australia",180.89
Australia,389.0
"Avalon Beach, New South Wales, Australia",695.31
"Avalon, New South Wales, Australia",942.0
"BALGOWLAH, New South Wales, Australia",550.0
"BONDI, New South Wales, Australia",271.5
"Balgowlah Heights, New South Wales, Australia",962.67
"Balgowlah, New South Wales, Australia",474.44
"Balmain East, New South Wales, Australia",337.42
"Balmain, New South Wales, Australia",394.88
"Banksia, New South Wales, Australia",493.0
"Banksmeadow, New South Wales, Australia",450.0
"Bankstown, New South Wales, Australia",81.61
"Bar Point, New South Wales, Australia",720.0
"Barangaroo, New South Wales, Australia",179.0
"Bardia, New South Wales, Australia",96.2
"Bardwell Park, New South Wales, Australia",102.0
"Bardwell Valley, New South Wales, Australia",172.5
"Bass Hill, New South Wales, Australia",182.0
"Baulkham Hills, New South Wales, Australia",141.73
"Bayview, New South Wales, Australia",663.83
"Beacon Hill, New South Wales, Australia",303.25
"Beaconsfield, New South Wales, Australia",195.0
"Beaumont Hills, New South Wales, Australia",141.75
"Beecroft, New South Wales, Australia",113.12
"Belfield, New South Wales, Australia",460.0
"Bella Vista, New South Wales, Australia",70.7
"Bellevue Hill, New South Wales, Australia",599.7
"Belmore, New South Wales, Australia",215.5
"Belrose, New South Wales, Australia",242.0
"Berala, New South Wales, Australia",62.45
"Berowra Creek, New South Wales, Australia",400.0
"Berowra Heights, New South Wales, Australia",215.5
"Berowra Waters, New South Wales, Australia",715.36
"Berowra, New South Wales, Australia",299.17
"Berrilee, New South Wales, Australia",291.0
"Beverly Hills, New South Wales, Australia",111.83
"Bexley North, New South Wales, Australia",119.5
"Bexley, New South Wales, Australia",220.2
"Bilgola Beach, New South Wales, Australia",803.56
"Bilgola Plateau, New South Wales, Australia",608.63
"Bilgola, New South Wales, Australia",255.0
"Birchgrove, New South Wales, Australia",319.73
"Blacktown, New South Wales, Australia",124.17
"Blair Athol, New South Wales, Australia",44.0
"Bondi Beach, New South Wales, AU, New South Wales, Australia",199.0
"Bondi Beach, New South Wales, Australia",428.55
"Bondi Beach, Sydney, New South Wales, Australia",800.0
"Bondi Junction Sydney , New South Wales, Australia",243.0
"Bondi Junction, NS, Australia",393.0
"Bondi Junction, New South Wales, Australia",278.47
"Bondi beach , New South Wales, Australia",497.0
"Bondi, New South Wales, Australia",405.67
"Bonnet Bay, New South Wales, Australia",550.0
"Botany, New South Wales, Australia",149.41
"Box Hill, New South Wales, Australia",89.5
"Breakfast Point, New South Wales, Australia",116.0
"Brighton-Le-Sands, New South Wales, Australia",219.8
"Bronte, New South Wales, Australia",561.55
"Brooklyn, New South Wales, Australia",232.22
"Brookvale, New South Wales, Australia",109.5
"Bundeena, New South Wales, Australia",510.8
"Bungarribee, New South Wales, Australia",99.0
"Burraneer, New South Wales, Australia",566.2
"Burwood, New South Wales, Australia",185.6
"Busby, New South Wales, Australia",120.0
"Cabarita, New South Wales, Australia",699.0
"Cabramatta West, New South Wales, Australia",103.38
"Cabramatta, New South Wales, Australia",253.62
"Cambridge Park, New South Wales, Australia",231.0
"Camden South, New South Wales, Australia",320.0
"Camden, New South Wales, Australia",316.25
"Cammeray, New South Wales, Australia",322.94
"Campbelltown, New South Wales, Australia",213.55
"Camperdown, New South Wales, Australia",276.88
"Camperdown, Sydney, New South Wales, Australia",132.0
"Campsie, New South Wales, Australia",174.33
"Canada Bay, New South Wales, Australia",371.67
"Canley Heights, New South Wales, Australia",128.6
"Canley Vale, New South Wales, Australia",100.0
"Canoelands, New South Wales, Australia",497.5
"Canterbury, New South Wales, Australia",158.83
"Caringbah South, New South Wales, Australia",307.57
"Caringbah, New South Wales, Australia",240.67
"Carlingford, New South Wales, Australia",181.67
"Carlton, New South Wales, Australia",144.0
"Carramar, New South Wales, Australia",58.83
"Cartwright, New South Wales, Australia",94.0
"Castle Cove, New South Wales, Australia",233.6
"Castle Hill, New South Wales, Australia",172.63
"Castlecrag, New South Wales, Australia",379.67
"Castlereagh, New South Wales, Australia",425.0
"Casula, New South Wales, Australia",174.25
"Cattai, New South Wales, Australia",5353.33
"Cecil Hills, New South Wales, Australia",180.0
"Centennial Park, New South Wales, Australia",500.22
"Centennial Park, Sydney, New South Wales, Australia",99.0
"Chatswood West, New South Wales, Australia",106.5
"Chatswood, New South Wales, Australia",224.23
"Cheltenham, New South Wales, Australia",144.83
"Cherrybrook, New South Wales, Australia",98.25
"Chifley, New South Wales, Australia",320.0
"Chippendale, New South Wales, Australia",222.08
"Chiswick, Australia",189.0
"Chiswick, New South Wales, Australia",236.0
"Church Point, New South Wales, Australia",412.25
"City of Canada Bay Council, New South Wales, Australia",300.0
"Claremont Meadows, New South Wales, Australia",61.0
"Clareville, New South Wales, Australia",955.67
